Data,Ultimo,Abertura,Max,Min,Vol,Var
18.09.2019,0.22342444950645407,0.22422289613343444,0.22667928098391676,0.2232380952380952,0.2502741228070176,0.4
17.09.2019,0.22342444950645407,0.23597422289613343,0.2346263008514664,0.22285714285714286,0.4664199561403509,0.27429519071310116
16.09.2019,0.2384206529992407,0.23047763457164516,0.2382213812677389,0.22895238095238094,0.29331140350877194,0.4500829187396352
13.09.2019,0.23253606681852698,0.23407884761182712,0.23311258278145694,0.23066666666666666,0.27521929824561403,0.37280265339966834
12.09.2019,0.2357630979498861,0.23237300985595147,0.23405865657521285,0.22723809523809527,0.3833607456140351,0.406301824212272
11.09.2019,0.2350037965072134,0.2293404094010614,0.23727530747398298,0.22819047619047622,0.4303728070175439,0.45870646766169154
10.09.2019,0.22817008352315868,0.21607278241091735,0.228003784295175,0.21523809523809523,0.41872258771929827,0.5131011608623549
09.09.2019,0.2154517843583903,0.21038665655799849,0.21665089877010407,0.20495238095238094,0.31483004385964913,0.4411276948590382
06.09.2019,0.21089597570235386,0.20413191811978768,0.20927152317880793,0.2038095238095238,0.1964089912280702,0.4573797678275291
05.09.2019,0.20463173880030375,0.20962850644427594,0.2098391674550615,0.204,0.26850328947368424,0.3588723051409619
04.09.2019,0.20918754745634016,0.20526914329037152,0.20794701986754968,0.2057142857142857,0.22752192982456143,0.43648424543946934
03.09.2019,0.20520121488230827,0.2065959059893859,0.20662251655629138,0.20076190476190478,0.3436129385964913,0.35555555555555557
30.08.2019,0.21013667425968108,0.20432145564821835,0.2088930936613056,0.20419047619047617,0.2797423245614035,0.4557213930348259
29.08.2019,0.2040622627182992,0.21057619408642908,0.21002838221381268,0.20285714285714285,0.25411184210526316,0.3217247097844113
28.08.2019,0.2127942293090357,0.21190295678544352,0.21248817407757808,0.20742857142857143,0.25328947368421056,0.41359867330016586
27.08.2019,0.21127562642369024,0.21171341925701287,0.2119205298013245,0.20914285714285716,0.2526041666666667,0.3880597014925374
26.08.2019,0.21260440394836752,0.20489006823351022,0.21381267738883633,0.20476190476190476,0.18050986842105265,0.4500829187396352
23.08.2019,0.20709946848899013,0.21000758150113724,0.20964995269631034,0.204,0.2065515350877193,0.3575456053067994
22.08.2019,0.21184510250569477,0.20887035633055342,0.21135288552507092,0.20609523809523808,0.29440789473684215,0.4222222222222223
21.08.2019,0.20937737281700838,0.2047005307050796,0.21059602649006626,0.2057142857142857,0.43119517543859653,0.4487562189054727
20.08.2019,0.2040622627182992,0.20318423047763454,0.20302743614001895,0.19771428571428573,0.41008771929824567,0.4155887230514097
19.08.2019,0.2023538344722855,0.20811220621683094,0.20927152317880793,0.2026666666666667,0.30811403508771934,0.3466003316749586
16.08.2019,0.20823842065299925,0.2151250947687642,0.2140018921475875,0.208,0.29427083333333337,0.34427860696517415
15.08.2019,0.21450265755504938,0.21417740712661107,0.21589403973509932,0.2135238095238095,0.29714912280701755,0.4033167495854063
14.08.2019,0.21412300683371302,0.21815769522365427,0.21911069063386945,0.21257142857142855,0.39322916666666674,0.33996683250414594
13.08.2019,0.22095671981776768,0.21152388172858225,0.21929990539262065,0.21047619047619048,0.6355537280701754,0.4819237147595357
12.08.2019,0.21184510250569477,0.2236542835481425,0.22175969725638597,0.21104761904761907,0.6282894736842106,0.287893864013267
09.08.2019,0.2247532270311314,0.22384382107657314,0.2249763481551561,0.22342857142857145,0.4280427631578948,0.3950248756218906
08.08.2019,0.2253227031131359,0.22479150871872627,0.2281929990539262,0.22285714285714286,0.4257127192982456,0.4182421227197347
07.08.2019,0.22323462414578588,0.2232752084912813,0.2240302743614002,0.22095238095238096,0.38829495614035087,0.3900497512437811
06.08.2019,0.224373576309795,0.21929492039423804,0.22421948912015138,0.21828571428571428,0.3260690789473684,0.448424543946932
05.08.2019,0.21886864085041766,0.22820318423047764,0.2281929990539262,0.21485714285714289,0.2261513157894737,0.3167495854063019
02.08.2019,0.2285497342444951,0.22479150871872627,0.22876064333017976,0.22419047619047616,0.26260964912280704,0.42951907131011613
01.08.2019,0.22513287775246774,0.22801364670204702,0.22743614001892146,0.22285714285714286,0.22889254385964913,0.31973466003316753
31.07.2019,0.234624145785877,0.23313115996967398,0.23481551561021757,0.22952380952380952,0.2545230263157895,0.406301824212272
30.07.2019,0.23386484434320426,0.24014404852160726,0.2378429517502365,0.2318095238095238,0.18201754385964913,0.34759535655058044
29.07.2019,0.2401290812452544,0.23464746019711905,0.24238410596026488,0.2318095238095238,0.22464364035087722,0.4434494195688226
26.07.2019,0.2350037965072134,0.23824867323730095,0.2433301797540208,0.23314285714285715,0.20065789473684212,0.3698175787728027
25.07.2019,0.2386104783599089,0.24071266110689915,0.23954588457899714,0.23809523809523808,0.1529605263157895,0.38905472636815924
24.07.2019,0.2399392558845862,0.2454510993176649,0.24749290444654684,0.2394285714285714,0.23478618421052633,0.3545605306799337
23.07.2019,0.24544419134396359,0.25701288855193327,0.2554399243140965,0.2459047619047619,0.18681469298245618,0.31475953565505804
22.07.2019,0.25607441154138194,0.2630780894617134,0.26452223273415326,0.2567619047619048,0.09347587719298246,0.4510779436152571
19.07.2019,0.24981017463933183,0.2541698256254738,0.256953642384106,0.24952380952380954,0.3067434210526316,0.3601990049751244
18.07.2019,0.25474563401670464,0.2475360121304018,0.2527909176915799,0.2462857142857143,0.23876096491228074,0.43714759535655057
17.07.2019,0.25018982536066825,0.2443138741470811,0.24938505203405867,0.24361904761904762,0.27371162280701755,0.4580431177446103
